Crew,Unit,ID,Line,Station,Time,Status,First Pick(ms),CTB(us),Uphole Shift(ms),Cap res(ohm),Geo res(ohm),Battery(V),Lat(deg N),Lon(deg E),Alt(m),Wavelet(Base64)
1,1,101018,0,0,2021-05-22 10:03:42.275052,225,0.0,0.0,0,0,0,23.1,21.327739,79.388132,242.6,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101101,0,0,2023-03-04 10:56:38.684894,225,0.0,0.0,0,0,0,23.3,25.324884,78.142339,274.3,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101031,0,0,2023-03-04 07:34:43.023748,225,0.0,0.0,0,0,0,23.1,25.328434,78.136893,270.3,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101099,0,0,2023-03-04 10:54:41.976297,225,0.0,0.0,0,0,0,23.1,25.325021,78.142198,274.0,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101053,0,0,2023-03-04 07:57:57.008716,225,0.0,0.0,0,0,0,23.0,25.327572,78.138839,270.8,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101106,0,0,2023-03-04 11:01:45.636894,225,0.0,0.0,0,0,0,23.1,25.324462,78.142713,270.8,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101070,0,0,2023-03-04 08:15:36.121832,225,0.0,0.0,0,0,0,22.8,25.326990,78.140513,272.9,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101061,0,0,2023-03-04 08:05:14.897060,225,0.0,0.0,0,0,0,23.0,25.327310,78.139570,272.2,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101041,0,0,2023-03-04 07:48:18.864728,225,0.0,0.0,0,0,0,23.3,25.327972,78.137736,269.4,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101020,0,0,2021-05-22 10:05:39.144131,225,0.0,0.0,0,0,0,23.0,21.327731,79.387943,242.8,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
